v1	V(vd)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-01	9.999996e-02
2.000000000000000e-01	1.999999e-01
3.000000000000000e-01	2.999997e-01
4.000000000000000e-01	3.999994e-01
5.000000000000000e-01	4.999987e-01
6.000000000000000e-01	5.999972e-01
7.000000000000000e-01	6.999938e-01
7.999999999999999e-01	7.999865e-01
8.999999999999999e-01	8.999707e-01
9.999999999999999e-01	9.999363e-01
1.100000000000000e+00	1.099862e+00
1.200000000000000e+00	1.199702e+00
1.300000000000000e+00	1.299355e+00
1.400000000000000e+00	1.398611e+00
1.500000000000000e+00	1.497027e+00
1.600000000000000e+00	1.593722e+00
1.700000000000000e+00	1.687087e+00
1.800000000000000e+00	1.774630e+00
1.900000000000001e+00	1.853380e+00
2.000000000000000e+00	1.921336e+00
2.100000000000001e+00	1.978238e+00
2.200000000000001e+00	2.025368e+00
2.300000000000001e+00	2.064728e+00
2.400000000000001e+00	2.097694e+00
2.500000000000001e+00	2.125861e+00
2.600000000000001e+00	2.150314e+00
2.700000000000001e+00	2.171830e+00
2.800000000000001e+00	2.190990e+00
2.900000000000001e+00	2.208233e+00
3.000000000000001e+00	2.223893e+00
3.100000000000001e+00	2.238230e+00
3.200000000000002e+00	2.251446e+00
3.300000000000002e+00	2.263705e+00
3.400000000000002e+00	2.275137e+00
3.500000000000002e+00	2.285848e+00
3.600000000000002e+00	2.295926e+00
3.700000000000002e+00	2.305446e+00
3.800000000000002e+00	2.314468e+00
3.900000000000002e+00	2.323045e+00
4.000000000000002e+00	2.331221e+00
4.100000000000001e+00	2.339035e+00
4.200000000000001e+00	2.346520e+00
4.300000000000001e+00	2.353705e+00
4.400000000000000e+00	2.360616e+00
4.500000000000000e+00	2.367275e+00
4.600000000000000e+00	2.373702e+00
4.699999999999999e+00	2.379913e+00
4.799999999999999e+00	2.385926e+00
4.899999999999999e+00	2.391754e+00
5.000000000000000e+00	2.397410e+00
