v1	V(n002)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	9.999996e-02	1.087282e-10
2.000000000000000e-01	1.999999e-01	3.442024e-10
3.000000000000000e-01	2.999997e-01	8.543083e-10
4.000000000000000e-01	3.999994e-01	1.959480e-09
5.000000000000000e-01	4.999987e-01	4.354020e-09
6.000000000000000e-01	5.999972e-01	9.542277e-09
7.000000000000000e-01	6.999938e-01	2.078360e-08
7.999999999999999e-01	7.999865e-01	4.513903e-08
8.999999999999999e-01	8.999707e-01	9.790252e-08
9.999999999999999e-01	9.999363e-01	2.121851e-07
1.100000000000000e+00	1.099862e+00	4.596019e-07
1.200000000000000e+00	1.199702e+00	9.947215e-07
1.300000000000000e+00	1.299355e+00	2.149640e-06
1.400000000000000e+00	1.398611e+00	4.630943e-06
1.500000000000000e+00	1.497027e+00	9.911098e-06
1.600000000000000e+00	1.593722e+00	2.092848e-05
1.700000000000000e+00	1.687087e+00	4.305795e-05
1.800000000000000e+00	1.774630e+00	8.464198e-05
1.900000000000001e+00	1.853380e+00	1.554004e-04
2.000000000000000e+00	1.921336e+00	2.622138e-04
2.100000000000001e+00	1.978238e+00	4.058739e-04
2.200000000000001e+00	2.025368e+00	5.821082e-04
2.300000000000001e+00	2.064728e+00	7.847703e-04
2.400000000000001e+00	2.097694e+00	1.008074e-03
2.500000000000001e+00	2.125861e+00	1.247359e-03
2.600000000000001e+00	2.150314e+00	1.499096e-03
2.700000000000001e+00	2.171830e+00	1.760659e-03
2.800000000000001e+00	2.190990e+00	2.030094e-03
2.900000000000001e+00	2.208233e+00	2.305931e-03
3.000000000000001e+00	2.223893e+00	2.587052e-03
3.100000000000001e+00	2.238230e+00	2.872588e-03
3.200000000000002e+00	2.251446e+00	3.161860e-03
3.300000000000002e+00	2.263705e+00	3.454327e-03
3.400000000000002e+00	2.275137e+00	3.749553e-03
3.500000000000002e+00	2.285848e+00	4.047181e-03
3.600000000000002e+00	2.295926e+00	4.346917e-03
3.700000000000002e+00	2.305446e+00	4.648517e-03
3.800000000000002e+00	2.314468e+00	4.951777e-03
3.900000000000002e+00	2.323045e+00	5.256521e-03
4.000000000000002e+00	2.331221e+00	5.562599e-03
4.100000000000001e+00	2.339035e+00	5.869885e-03
4.200000000000001e+00	2.346520e+00	6.178268e-03
4.300000000000001e+00	2.353705e+00	6.487650e-03
4.400000000000000e+00	2.360616e+00	6.797947e-03
4.500000000000000e+00	2.367275e+00	7.109084e-03
4.600000000000000e+00	2.373702e+00	7.420996e-03
4.699999999999999e+00	2.379913e+00	7.733623e-03
4.799999999999999e+00	2.385926e+00	8.046914e-03
4.899999999999999e+00	2.391754e+00	8.360821e-03
5.000000000000000e+00	2.397410e+00	8.675301e-03
