time,voltage
0.0000,4.8680
0.2500,4.5161
0.5000,4.1935
0.7500,3.8954
1.0000,3.6266
1.2500,3.3675
1.5000,3.1329
1.7500,2.9130
2.0000,2.7126
2.2500,2.5269
2.5000,2.3509
2.7500,2.1896
3.0000,2.0381
3.2500,1.8964
3.5000,1.7693
3.7500,1.6520
4.0000,1.5396
4.2500,1.4370
4.5000,1.3441
4.7500,1.2561
5.0000,1.1681
5.2500,1.0948
5.5000,1.0215
5.7500,0.9580
6.0000,0.8944
6.2500,0.8407
6.5000,0.7820
6.7500,0.7331
7.0000,0.6843
7.2500,0.6452
7.5000,0.6012
7.7500,0.5670
8.0000,0.5327
8.2500,0.4985
8.5000,0.4692
8.7500,0.4350
9.0000,0.4154
9.2500,0.3861
9.5000,0.3666
9.7500,0.3421
