time,voltageSrc,voltageAmp,usLeft
0.0000,3.2111,2.8397,-20
0.3000,2.9619,2.8348,72
0.6000,2.6442,2.8348,72
0.9000,2.3265,2.8348,72
1.2000,2.0137,2.8299,72
1.5000,1.7009,2.8299,72
1.8000,1.7204,2.1457,72
2.1000,2.0381,2.1505,72
2.4000,2.3558,2.1359,72
2.7000,2.6833,2.1408,72
3.0000,2.9961,2.1457,72
3.3000,3.3138,2.1408,72
3.6000,3.2942,2.8446,72
3.9000,2.9717,2.8299,72
4.2000,2.6540,2.8446,72
4.5000,2.3363,2.8397,72
4.8000,2.0235,2.8299,72
5.1000,1.7058,2.8299,72
5.4000,1.7058,2.1457,72
5.7000,2.0332,2.1408,72
6.0000,2.3558,2.1554,72
6.3000,2.6735,2.1457,72
6.6000,2.9863,2.1554,72
6.9000,3.3040,2.1457,72
7.2000,3.3040,2.8397,72
7.5000,2.9863,2.8299,72
7.8000,2.6686,2.8348,72
8.1000,2.3509,2.8348,72
8.4000,2.0332,2.8397,72
8.7000,1.7107,2.8348,72
9.0000,1.7058,2.1310,72
9.3000,2.0283,2.1359,72
9.6000,2.3509,2.1603,72
9.9000,2.6686,2.1505,72
10.2000,2.9814,2.1457,72
10.5000,3.2942,2.1457,72
10.8000,3.3138,2.8348,72
11.1000,2.9912,2.8299,72
11.4000,2.6735,2.8446,72
11.7000,2.3607,2.8397,72
