time	VR	Vout	Vin
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.314285669833358e-07	4.125355e-03	1.089778e-05	4.136253e-03
1.462857133966672e-06	8.233236e-03	3.891701e-05	8.272153e-03
2.194285700950007e-06	1.232364e-02	8.405771e-05	1.240770e-02
2.925714267933343e-06	1.639657e-02	1.463199e-04	1.654289e-02
3.657142834916679e-06	2.045203e-02	2.257035e-04	2.067773e-02
4.388571401900015e-06	2.449001e-02	3.222086e-04	2.481222e-02
5.119999968883349e-06	2.851052e-02	4.358351e-04	2.894636e-02
9.026249968883349e-06	4.977740e-02	1.236457e-03	5.101386e-02
1.293249996888335e-05	7.064502e-02	2.412457e-03	7.305748e-02
1.683874996888335e-05	9.107372e-02	3.991742e-03	9.506546e-02
2.074499996888335e-05	1.110613e-01	5.965717e-03	1.170271e-01
2.465124996888335e-05	1.306058e-01	8.325748e-03	1.389315e-01
2.855749996888335e-05	1.497051e-01	1.106316e-02	1.607683e-01
3.246374996888335e-05	1.683573e-01	1.416924e-02	1.825265e-01
3.636999996888335e-05	1.865605e-01	1.763523e-02	2.041957e-01
4.027624996888335e-05	2.043130e-01	2.145235e-02	2.257653e-01
4.418249996888336e-05	2.216129e-01	2.561179e-02	2.472247e-01
4.808874996888336e-05	2.384589e-01	3.010468e-02	2.685635e-01
5.199499996888336e-05	2.548492e-01	3.492214e-02	2.897713e-01
5.590124996888337e-05	2.707824e-01	4.005526e-02	3.108377e-01
5.980749996888337e-05	2.862573e-01	4.549510e-02	3.317524e-01
6.371374996888337e-05	3.012725e-01	5.123269e-02	3.525052e-01
7.152624996888338e-05	3.299197e-01	6.356518e-02	3.934849e-01
7.933874996888339e-05	3.567161e-01	7.698056e-02	4.336967e-01
8.715124996888339e-05	3.816557e-01	9.140642e-02	4.730622e-01
9.886999996888340e-05	4.155749e-01	1.147810e-01	5.303559e-01
1.105887499688834e-04	4.453014e-01	1.400202e-01	5.853215e-01
1.206333928260263e-04	4.673858e-01	1.633317e-01	6.307175e-01
1.306780356831692e-04	4.864573e-01	1.872972e-01	6.737545e-01
1.407226785403120e-04	5.025158e-01	2.119168e-01	7.144326e-01
1.507673213974549e-04	5.155614e-01	2.371903e-01	7.527517e-01
1.608119642545978e-04	5.255941e-01	2.631179e-01	7.887120e-01
1.708566071117406e-04	5.326139e-01	2.896994e-01	8.223134e-01
1.809012499688835e-04	5.366208e-01	3.169350e-01	8.535558e-01
1.942941071117406e-04	5.371400e-01	3.537083e-01	8.908484e-01
2.076869642545978e-04	5.330839e-01	3.895864e-01	9.226703e-01
2.210798213974549e-04	5.244525e-01	4.245693e-01	9.490218e-01
2.344726785403121e-04	5.112456e-01	4.586570e-01	9.699026e-01
2.478655356831693e-04	4.934634e-01	4.918495e-01	9.853129e-01
2.612583928260264e-04	4.711059e-01	5.241467e-01	9.952526e-01
2.746512499688835e-04	4.441730e-01	5.555488e-01	9.997218e-01
2.869280356831692e-04	4.160028e-01	5.823763e-01	9.983792e-01
2.992048213974550e-04	3.853586e-01	6.070071e-01	9.923657e-01
3.114816071117407e-04	3.522403e-01	6.294409e-01	9.816813e-01
3.237583928260264e-04	3.166480e-01	6.496780e-01	9.663260e-01
3.360351785403122e-04	2.785817e-01	6.677181e-01	9.462998e-01
3.483119642545979e-04	2.380413e-01	6.835614e-01	9.216028e-01
