Freq.	Vout    phase
1.00000000000000e+00	9.99998420865789e-01,-1.25663507703734e-03
1.00695555005672e+00	9.99998398821933e-01,-1.26537563732490e-03
1.01395947979003e+00	9.99998376470356e-01,-1.27417699243096e-03
1.02101212570719e+00	9.99998353806764e-01,-1.28303956520460e-03
1.02811382665607e+00	9.99998330826801e-01,-1.29196378143580e-03
1.03526492384138e+00	9.99998307526051e-01,-1.30095006987588e-03
1.04246576084112e+00	9.99998283900036e-01,-1.30999886225809e-03
1.04971668362307e+00	9.99998259944215e-01,-1.31911059331834e-03
1.05701804056138e+00	9.99998235653984e-01,-1.32828570081609e-03
1.06437018245336e+00	9.99998211024676e-01,-1.33752462555537e-03
1.07177346253629e+00	9.99998186051556e-01,-1.34682781140596e-03
1.07922823650443e+00	9.99998160729826e-01,-1.35619570532469e-03
1.08673486252606e+00	9.99998135054619e-01,-1.36562875737692e-03
1.09429370126074e+00	9.99998109021001e-01,-1.37512742075814e-03
1.10190511587661e+00	9.99998082623968e-01,-1.38469215181576e-03
1.10956947206785e+00	9.99998055858448e-01,-1.39432341007099e-03
1.11728713807222e+00	9.99998028719297e-01,-1.40402165824096e-03
1.12505848468881e+00	9.99998001201299e-01,-1.41378736226090e-03
1.13288388529580e+00	9.99997973299166e-01,-1.42362099130652e-03
1.14076371586843e+00	9.99997945007534e-01,-1.43352301781656e-03
1.14869835499704e+00	9.99997916320968e-01,-1.44349391751547e-03
1.15668818390529e+00	9.99997887233954e-01,-1.45353416943626e-03
1.16473358646846e+00	9.99997857740903e-01,-1.46364425594350e-03
1.17283494923188e+00	9.99997827836145e-01,-1.47382466275648e-03
1.18099266142953e+00	9.99997797513935e-01,-1.48407587897255e-03
1.18920711500272e+00	9.99997766768444e-01,-1.49439839709060e-03
1.19747870461893e+00	9.99997735593763e-01,-1.50479271303470e-03
1.20580782769076e+00	9.99997703983903e-01,-1.51525932617795e-03
1.21419488439505e+00	9.99997671932787e-01,-1.52579873936643e-03
1.22264027769207e+00	9.99997639434257e-01,-1.53641145894334e-03
1.23114441334492e+00	9.99997606482066e-01,-1.54709799477334e-03
1.23970769993899e+00	9.99997573069881e-01,-1.55785886026705e-03
1.24833054890161e+00	9.99997539191283e-01,-1.56869457240563e-03
1.25701337452183e+00	9.99997504839759e-01,-1.57960565176571e-03
1.26575659397028e+00	9.99997470008708e-01,-1.59059262254429e-03
1.27456062731927e+00	9.99997434691436e-01,-1.60165601258398e-03
1.28342589756291e+00	9.99997398881157e-01,-1.61279635339831e-03
1.29235283063750e+00	9.99997362570987e-01,-1.62401418019728e-03
1.30134185544194e+00	9.99997325753948e-01,-1.63531003191303e-03
1.31039340385837e+00	9.99997288422966e-01,-1.64668445122574e-03
1.31950791077290e+00	9.99997250570865e-01,-1.65813798458968e-03
1.32868581409652e+00	9.99997212190371e-01,-1.66967118225946e-03
1.33792755478612e+00	9.99997173274109e-01,-1.68128459831643e-03
1.34723357686569e+00	9.99997133814599e-01,-1.69297879069530e-03
1.35660432744768e+00	9.99997093804258e-01,-1.70475432121095e-03
1.36604025675440e+00	9.99997053235397e-01,-1.71661175558535e-03
1.37554181813975e+00	9.99997012100219e-01,-1.72855166347478e-03
1.38510946811093e+00	9.99996970390819e-01,-1.74057461849716e-03
1.39474366635041e+00	9.99996928099181e-01,-1.75268119825959e-03
1.40444487573800e+00	9.99996885217177e-01,-1.76487198438607e-03
1.41421356237310e+00	9.99996841736566e-01,-1.77714756254546e-03
1.42405019559708e+00	9.99996797648993e-01,-1.78950852247958e-03
1.43395524801583e+00	9.99996752945984e-01,-1.80195545803152e-03
1.44392919552250e+00	9.99996707618948e-01,-1.81448896717416e-03
1.45397251732032e+00	9.99996661659175e-01,-1.82710965203888e-03
1.46408569594563e+00	9.99996615057831e-01,-1.83981811894446e-03
1.47426921729111e+00	9.99996567805962e-01,-1.85261497842622e-03
1.48452357062906e+00	9.99996519894485e-01,-1.86550084526528e-03
1.49484924863494e+00	9.99996471314194e-01,-1.87847633851812e-03
1.50524674741107e+00	9.99996422055752e-01,-1.89154208154630e-03
1.51571656651041e+00	9.99996372109693e-01,-1.90469870204635e-03
1.52625920896057e+00	9.99996321466418e-01,-1.91794683207993e-03
1.53687518128802e+00	9.99996270116194e-01,-1.93128710810419e-03
1.54756499354240e+00	9.99996218049153e-01,-1.94472017100230e-03
1.55832915932101e+00	9.99996165255289e-01,-1.95824666611421e-03
1.56916819579351e+00	9.99996111724456e-01,-1.97186724326767e-03
1.58008262372676e+00	9.99996057446366e-01,-1.98558255680937e-03
1.59107296750985e+00	9.99996002410589e-01,-1.99939326563640e-03
1.60213975517925e+00	9.99995946606546e-01,-2.01330003322786e-03
1.61328351844426e+00	9.99995890023515e-01,-2.02730352767672e-03
1.62450479271248e+00	9.99995832650620e-01,-2.04140442172187e-03
1.63580411711557e+00	9.99995774476837e-01,-2.05560339278043e-03
1.64718203453516e+00	9.99995715490984e-01,-2.06990112298027e-03
1.65863909162889e+00	9.99995655681727e-01,-2.08429829919275e-03
1.67017583885675e+00	9.99995595037571e-01,-2.09879561306567e-03
1.68179283050744e+00	9.99995533546861e-01,-2.11339376105650e-03
1.69349062472506e+00	9.99995471197782e-01,-2.12809344446582e-03
1.70526978353592e+00	9.99995407978349e-01,-2.14289536947093e-03
1.71713087287552e+00	9.99995343876414e-01,-2.15780024715978e-03
1.72907446261574e+00	9.99995278879658e-01,-2.17280879356511e-03
1.74110112659226e+00	9.99995212975589e-01,-2.18792172969879e-03
1.75321144263208e+00	9.99995146151543e-01,-2.20313978158647e-03
1.76540599258132e+00	9.99995078394677e-01,-2.21846368030236e-03
1.77768536233315e+00	9.99995009691970e-01,-2.23389416200437e-03
1.79005014185596e+00	9.99994940030218e-01,-2.24943196796944e-03
1.80250092522167e+00	9.99994869396035e-01,-2.26507784462909e-03
1.81503831063433e+00	9.99994797775845e-01,-2.28083254360526e-03
1.82766290045881e+00	9.99994725155885e-01,-2.29669682174639e-03
1.84037530124976e+00	9.99994651522199e-01,-2.31267144116372e-03
1.85317612378076e+00	9.99994576860636e-01,-2.32875716926789e-03
